name,price,type,efficiency,wattage,modular,color
FSP Group Hydro G Pro,147.61,ATX,gold,1000,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,169.99,ATX,gold,1200,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,84.99,ATX,gold,650,Full,Black
Vetroo GV1000,119.99,ATX,gold,1000,Full,Black
SeaSonic PRIME TX-850,349.97,ATX,titanium,850,Full,Black
Thermaltake Toughpower GX3,89.99,ATX,gold,850,false,Black
Asus TUF Gaming 1200G,204.08,ATX,gold,1200,Full,Black
GAMDIAS KRATOS P1 G,79.98,ATX,gold,750,false,Black
Corsair CX750M V2 (2017 Edition),174.71,ATX,bronze,750,Semi,Black / White
SeaSonic G12 GM,146.07,ATX,gold,650,Semi,Black / Blue
Azza PSAZ-750W,69.99,ATX,bronze,750,false,Black
Gigabyte UD-GM PG5,138.47,ATX,gold,750,Full,Black
Antec CSK,101.74,ATX,bronze,750,Semi,Black / Yellow
Cougar POLAR,235.99,ATX,platinum,1200,Full,White
EVGA 550 BP,79.98,ATX,bronze,550,false,Black
Corsair RM750x SHIFT,139.99,ATX,gold,750,Full / Side,White
EVGA SuperNOVA 750 G5,157.99,ATX,gold,750,Full,Black / Green
SeaSonic VERTEX GX-850,139.99,ATX,gold,850,Full,Black / Silver
Corsair RM850 (2019),189.54,ATX,gold,850,Full,Black
SeaSonic FOCUS,107.99,ATX,platinum,750,Full,Black
SeaSonic G12 GC,84.89,ATX,gold,550,false,Black / Blue
Fractal Design Ion Gold,177.7,ATX,gold,750,Full,Black
SeaSonic PRIME TX-750,349.7,ATX,titanium,750,Full,Black
EVGA 750 B5,97.78,ATX,bronze,750,Full,Black
SeaSonic FOCUS,69.99,ATX,gold,550,Semi,Black
Fractal Design Ion Gold,195.11,ATX,gold,850,Full,Black
EVGA SuperNOVA 550 GA,170.0,ATX,gold,550,Full,Black
Corsair RM650,204.99,ATX,gold,650,Full,Black
SeaSonic G12 GM,106.33,ATX,gold,550,Semi,Black / Blue
EVGA SuperNOVA 850 GA,259.0,ATX,gold,850,Full,Black
Corsair CX750F,216.06,ATX,bronze,750,Full,Black
Asus ROG Strix Aura Edition,169.99,ATX,gold,850,Full,Black
NZXT C (2019),89.99,ATX,gold,650,Full,Black
EVGA SuperNOVA 750 GA,176.99,ATX,gold,750,Full,Black
Super Flower Leadex III Gold,125.99,ATX,gold,550,Full,Black
Apevia Prestige,74.98,ATX,gold,1000,false,Black
Super Flower Leadex III ARGB,169.99,ATX,gold,750,Full,White
SeaSonic G12 GM,126.0,ATX,gold,850,Semi,Black / Blue
Enermax Revolution D.F. X,109.99,ATX,gold,850,Full,Black
Montech CENTURY G5,124.9,ATX,gold,850,Full,Black
Corsair RM1000e (2022),220.0,ATX,gold,1000,Full,Black
Antec NE1000G M ATX3.0,185.29,ATX,gold,1000,Full,Black
Corsair RM750e (2022),149.97,ATX,gold,750,Full,Black
Antec NE1000G M White ATX 3.0,119.76,ATX,gold,1000,Full,White
Corsair RM850x (2018),289.0,ATX,gold,850,Full,White / Black
Deepcool PM650D,85.6,ATX,gold,650,false,Black
Silverstone Essential,68.0,ATX,gold,550,false,Black / Yellow
EVGA SuperNOVA 1000 P5,236.14,ATX,platinum,1000,Full,Blue / Black
EVGA SuperNOVA 1000 G7,239.99,ATX,gold,1000,Full,Black / Blue
Gigabyte AORUS P GM,120.91,ATX,gold,750,Full,Black / Silver
Gigabyte UD850GM PG5 (rev. 2.0),160.99,ATX,gold,850,Full,Black
SeaSonic VERTEX PX-850,189.99,ATX,platinum,850,Full,Black / Silver
EVGA SuperNOVA 750 G6,136.16,ATX,gold,750,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,128.47,ATX,gold,850,Full,Black
Super Flower LEADEX VII XG,190.62,ATX,gold,850,Full,Black
Corsair RM850e (2022),155.0,ATX,gold,850,Full,Black
Super Flower Leadex Platinum,142.98,ATX,platinum,850,Full,Black
Cooler Master XG850 Plus,146.59,ATX,platinum,850,Full,Black
EVGA SuperNOVA 1000 G6,308.83,ATX,gold,1000,Full,Black
SeaSonic CORE GM,114.9,ATX,gold,650,Semi,Black
KOLINK Regulator,109.99,ATX,gold,750,Full,Black
ADATA XPG Core Reactor II,94.99,ATX,gold,750,Full,Black
Corsair CX550F,159.99,ATX,bronze,550,Full,Black
Corsair HX1000i (2022),299.99,ATX,platinum,1000,Full,Black
Razer Katana Chroma,389.99,ATX,platinum,1200,Full,Black
Cooler Master GX III GOLD,157.41,ATX,gold,850,Full,Black
Super Flower Leadex III Gold,125.99,ATX,gold,650,Full,Black
Silverstone Strider Platinum S,214.99,ATX,platinum,1000,Full,Black
Super Flower Leadex III ARGB,124.99,ATX,gold,650,Full,White
Super Flower Leadex VI Platinum PRO,149.99,ATX,platinum,1000,Full,Black / Blue
