name,price,speed,first_word_latency,cas_latency,num_sticks,ram_size_per_stick,DDR,total_ram
Corsair Vengeance RGB 32 GB,104.95,5600,14.286,40.0,2.0,16.0,5,32.0
G.Skill Trident Z RGB 32 GB,82.98,3600,10.0,18.0,2.0,16.0,4,32.0
Samsung Green 8 GB,14.0,2133,14.065,15.0,1.0,8.0,4,8.0
ADATA XPG SPECTRIX D50 16 GB,54.99,3200,10.0,16.0,2.0,8.0,4,16.0
TEAMGROUP T-Create Expert 32 GB,60.99,3600,10.0,18.0,2.0,16.0,4,32.0
Corsair Vengeance 32 GB,102.99,5200,15.385,40.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Delta RGB 64 GB,184.99,6000,12.667,38.0,2.0,32.0,5,64.0
Corsair Dominator Titanium 64 GB,289.99,6000,10.0,30.0,2.0,32.0,5,64.0
Corsair Vengeance RGB 32 GB,117.99,6000,12.0,36.0,2.0,16.0,5,32.0
TEAMGROUP Elite 16 GB,31.99,3200,13.75,22.0,2.0,8.0,4,16.0
Kingston FURY Beast 16 GB,49.0,3600,9.444,17.0,2.0,8.0,4,16.0
Samsung M378A1K43CB2-CRC 8 GB,15.5,2400,14.167,17.0,1.0,8.0,4,8.0
G.Skill Trident Z5 RGB 32 GB,164.99,7600,9.474,36.0,2.0,16.0,5,32.0
Corsair Vengeance RGB 32 GB,159.99,7200,9.444,34.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Delta RGB 32 GB,104.28,6000,12.667,38.0,2.0,16.0,5,32.0
Corsair Vengeance 32 GB,114.99,6000,12.0,36.0,2.0,16.0,5,32.0
Patriot Viper Elite 5 RGB 32 GB,99.99,6200,13.548,42.0,2.0,16.0,5,32.0
Crucial Pro 64 GB,116.99,3200,13.75,22.0,2.0,32.0,4,64.0
G.Skill Trident Z5 RGB 32 GB,189.99,7800,9.231,36.0,2.0,16.0,5,32.0
G.Skill Trident Z5 Neo RGB 64 GB,214.99,6000,10.0,30.0,2.0,32.0,5,64.0
TEAMGROUP T-Create Expert 32 GB,94.99,6400,10.0,32.0,2.0,16.0,5,32.0
G.Skill Ripjaws V 32 GB,84.99,4400,8.636,19.0,2.0,16.0,4,32.0
KingBank SharpBlade RGB 32 GB,97.99,6400,10.0,32.0,2.0,16.0,5,32.0
Patriot Viper Venom 32 GB,112.99,7000,9.143,32.0,2.0,16.0,5,32.0
Corsair Vengeance LPX 16 GB,44.99,2666,12.003,16.0,2.0,8.0,4,16.0
Samsung M378A2K43CB1-CTD 16 GB,30.0,2666,14.254,19.0,1.0,16.0,4,16.0
Corsair Vengeance 16 GB,64.98,5200,15.385,40.0,1.0,16.0,5,16.0
TEAMGROUP T-Create Expert 32 GB,52.99,3200,10.0,16.0,2.0,16.0,4,32.0
TEAMGROUP T-Force Delta RGB 32 GB,99.99,5600,11.429,32.0,2.0,16.0,5,32.0
Corsair Vengeance 64 GB,169.99,5200,15.385,40.0,2.0,32.0,5,64.0
TEAMGROUP T-Force Vulcan 32 GB,104.99,6400,10.0,32.0,2.0,16.0,5,32.0
Klevv BOLT X 16 GB,38.99,3600,10.0,18.0,2.0,8.0,4,16.0
G.Skill Aegis 16 GB,35.99,3000,10.667,16.0,2.0,8.0,4,16.0
Corsair Dominator Titanium 32 GB,199.99,7200,9.444,34.0,2.0,16.0,5,32.0
Kingston FURY Beast 32 GB,117.99,5600,12.857,36.0,2.0,16.0,5,32.0
Corsair Vengeance LPX 16 GB,47.99,3600,10.0,18.0,2.0,8.0,4,16.0
Crucial CT64G4YFQ426S 64 GB,649.95,2666,14.254,19.0,1.0,64.0,4,64.0
Kingston FURY Beast RGB 16 GB,54.99,3200,10.0,16.0,2.0,8.0,4,16.0
G.Skill Trident Z Royal 32 GB,105.99,3600,10.556,19.0,2.0,16.0,4,32.0
Patriot Viper Steel 32 GB,67.99,3200,10.0,16.0,2.0,16.0,4,32.0
TEAMGROUP T-Create Classic 16 GB,32.49,3200,13.75,22.0,2.0,8.0,4,16.0
TEAMGROUP Elite 16 GB,49.99,4800,16.667,40.0,2.0,8.0,5,16.0
Patriot Viper Steel 16 GB,43.99,3200,10.0,16.0,2.0,8.0,4,16.0
Patriot Viper 4 Blackout 64 GB,116.99,3600,10.0,18.0,2.0,32.0,4,64.0
Patriot Viper Xtreme 5 32 GB,169.99,8200,9.268,38.0,2.0,16.0,5,32.0
G.Skill Trident Z5 RGB 32 GB,112.99,6000,10.0,30.0,2.0,16.0,5,32.0
G.Skill Ripjaws V 64 GB,128.99,3600,10.0,18.0,2.0,32.0,4,64.0
TEAMGROUP Elite Plus 16 GB,52.99,4800,16.667,40.0,2.0,8.0,5,16.0
Kingston FURY Beast 64 GB,219.99,6000,12.0,36.0,2.0,32.0,5,64.0
Corsair Vengeance 64 GB,279.99,6600,9.697,32.0,4.0,16.0,5,64.0
Corsair Vengeance LPX 32 GB,94.99,3600,8.889,16.0,2.0,16.0,4,32.0
Corsair Vengeance LPX 16 GB,39.99,3000,10.667,16.0,1.0,16.0,4,16.0
Corsair Vengeance 32 GB,119.99,6000,12.0,36.0,2.0,16.0,5,32.0
G.Skill Trident Z5 RGB 32 GB,239.99,8000,9.5,38.0,2.0,16.0,5,32.0
