name,price,socket,form_factor,max_memory,memory_slots,color
Asus PRIME H770-PLUS,233.9,LGA1700,ATX,192,4,Silver / Black
MSI Z270 SLI PLUS,394.99,LGA1151,ATX,64,4,Black / Silver
ASRock Z270 Killer SLI/ac,333.78,LGA1151,ATX,64,4,Black / White
Gigabyte B660 DS3H DDR4,203.34,LGA1700,ATX,128,4,Black
Gigabyte Z590 AORUS PRO AX,305.99,LGA1200,ATX,128,4,Black
MSI Z370 SLI PLUS,381.49,LGA1151,ATX,64,4,Black / Gray
MSI MEG Z390 ACE,600.0,LGA1151,ATX,128,4,Black / Silver
Asus TUF Z390-PRO GAMING,355.99,LGA1151,ATX,128,4,Black / Gold
ASRock H670 Steel Legend,165.99,LGA1700,ATX,128,4,Silver / Gray
ASRock Z390 Extreme4,199.99,LGA1151,ATX,128,4,Black
Gigabyte B660 AORUS Master DDR4,313.12,LGA1700,ATX,128,4,Black
Asus PRIME H670-PLUS D4,246.89,LGA1700,ATX,128,4,Silver / Black
Gigabyte B560 AORUS PRO AX,294.89,LGA1200,ATX,128,4,Black
MSI MAG B460 TORPEDO,249.9,LGA1200,ATX,128,4,Black
